Keywords,Frequency
important,614
gay,614
box,613
cooking,611
potty,609
secret,609
complete,605
bedtime,604
guilt,603
test,603
cleaned,603
smile,602
bored,601
feet,601
staying,598
crush,597
threw,597
changed,597
ive,595
gym,595
hes,594
glass,594
younger,593
legs,592
hang,589
beer,589
dating,588
starts,588
hey,587
choice,586
list,586
walking,586
watched,585
xh,584
missing,580
save,579
drives,579
biggest,578
dying,577
ran,577
balls,576
emotional,575
lay,574
pics,573
bday,573
whining,573
listening,573
daughters,572
yell,572
truth,571
piss,570
dress,570
strong,569
neighbors,568
blow,568
pictures,567
blame,565
acting,565
insane,564
wondering,564
imagine,562
boring,562
gf,561
apparently,560
ha,558
yay,556
hospital,556
falling,555
vibrator,555
leaves,554
happier,554
helping,554
dreams,552
yelling,550
coworker,550
answer,550
low,549
finish,547
resent,545
eye,543
account,543
nervous,540
jobs,540
bother,538
message,537
pathetic,537
respect,537
teen,537
xmas,535
surgery,535
awake,534
skin,534
hole,533
shoes,532
short,530
holy,530
internet,529
drugs,529
asks,528
keeping,528
sooo,525
hungry,523
ashamed,522
jerk,521
lots,520
state,520
line,519
shows,519
freak,519
gifts,519
catch,518
monday,517
church,516
toy,516
ended,515
mama,514
credit,513
insurance,512
type,510
thankful,510
missed,510
rude,510
ruined,509
cares,509
order,508
diapers,507
bullshit,507
penis,506
gotta,505
attitude,505
cookies,504
weren,504
bra,503
breast,503
afternoon,502
throwing,502
mos,502
bunch,501
pray,496
news,494
sat,493
yelled,492
bil,491
gained,489
bigger,489
number,486
turning,486
country,485
ing,485
mental,485
emotionally,484
bank,484
homework,483
cake,483
meant,483
stick,483
hubs,482
future,482
company,481
tho,481
raising,481
case,479
clue,478
paper,477
major,476
picked,475
teach,475
board,473
cup,469
choose,469
voice,468
wth,468
harder,468
sense,467
smells,467
breaks,466
cheese,465
brought,464
stayed,464
recently,462
blood,461
learned,460
growing,460
breaking,460
soooo,459
music,458
wall,457
ya,456
ring,455
annoyed,455
abuse,455
acts,454
brain,454
reality,454
deserves,453
talked,453
shirt,453
throat,451
picture,451
email,451
ruin,451
breastfeeding,451
posted,450
alcoholic,450
movies,450
passed,449
drug,448
tears,445
decide,443
red,443
grateful,443
plans,443
story,441
fed,441
rock,440
honey,439
girlfriend,439
talks,439
treats,438
refuse,438
decision,437
sleeps,436
masturbate,436
write,436
karma,436
fart,435
fuckin,435
wet,434
rent,434
expensive,433
screwed,433
belly,433
speak,433
trouble,432
bowl,432
pass,431
lied,430
wipe,430
finding,429
oldest,428
effort,428
abortion,426
grandma,425
jeans,425
pack,425
vagina,425
waste,425
laughing,425
sexual,424
therapy,424
assholes,424
slap,423
confessional,422
alcohol,422
table,422
lack,421
planning,420
random,419
picking,418
expect,418
